"_raw","_time","community_id","conn_state",duration,eventtype,history,host,"id.orig_h","id.orig_p","id.resp_h","id.resp_p",index,linecount,"local_orig","local_resp","missed_bytes",name,notice,"orig_bytes","orig_ip_bytes","orig_pkts",peer,proto,punct,"resp_bytes","resp_ip_bytes","resp_pkts",service,source,sourcetype,"splunk_server","splunk_server_group",timestamp,ts,"tunnel_parents{}",uid
"{""ts"":1645296952.772156,""uid"":""CzdRY04ZlCMaCjEHhl"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":57160,""id.resp_h"":""40.83.247.108"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":15789.154201984406,""orig_bytes"":21722,""resp_bytes"":51144,""conn_state"":""S1"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADda"",""orig_pkts"":540,""orig_ip_bytes"":43334,""resp_pkts"":278,""resp_ip_bytes"":62276,""tunnel_parents"":[""CQTaxB2uLfby86eF05"",""CewaCg406cYaWd2oI6"",""CR3TA12lHDHHB78l3a"",""Cf7Fcw17AIjiAc1xJb"",""CyFchI1T0qel5T6j"",""CvcaQr1a0PKTK4DMfg"",""C3uvqm2vpuH89Z8s85"",""CODpn44XqxhWJpzwl3"",""Coy6jMKk4rQhBLED"",""CmKqmu30eQF5LYDD1j""],""community_id"":""1:nfz+qu4Jc+eYl8RGDZMS3tVBQAw=""}","2022-02-19T23:20:01.000+0000","1:nfz+qu4Jc+eYl8RGDZMS3tVBQAw=",S1,"15789.154201984406",,ShADda,sensor,"172.16.50.101",57160,"40.83.247.108",443,zeek,1,true,false,0,,,21722,43334,540,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",51144,62276,278,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645296952.772156","CQTaxB2uLfby86eF05
CewaCg406cYaWd2oI6
CR3TA12lHDHHB78l3a
Cf7Fcw17AIjiAc1xJb
CyFchI1T0qel5T6j
CvcaQr1a0PKTK4DMfg
C3uvqm2vpuH89Z8s85
CODpn44XqxhWJpzwl3
Coy6jMKk4rQhBLED
CmKqmu30eQF5LYDD1j",CzdRY04ZlCMaCjEHhl
"{""ts"":1645312794.656134,""uid"":""C9mlQX2LBfsprHde4j"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":55596,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.00043201446533203125,""orig_bytes"":0,""resp_bytes"":0,""conn_state"":""REJ"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""Sr"",""orig_pkts"":1,""orig_ip_bytes"":48,""resp_pkts"":1,""resp_ip_bytes"":40,""tunnel_parents"":[""CQO7hw1CZl1pToh77i""],""community_id"":""1:JdepSdH4l5a0pgU9mFZ5htI+GaU=""}","2022-02-19T23:20:01.000+0000","1:JdepSdH4l5a0pgU9mFZ5htI+GaU=",REJ,"0.00043201446533203125",,Sr,sensor,"172.16.50.101",55596,"18.188.230.95",443,zeek,1,true,false,0,,,0,48,1,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",0,40,1,,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312794.656134",CQO7hw1CZl1pToh77i,C9mlQX2LBfsprHde4j
"{""ts"":1645306128.114175,""uid"":""CD9Z3p2N5fQOjQSRGh"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":60532,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":6664.542012929916,""orig_bytes"":81951,""resp_bytes"":76064,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADadfFr"",""orig_pkts"":183,""orig_ip_bytes"":89283,""resp_pkts"":185,""resp_ip_bytes"":83476,""tunnel_parents"":[""Ce3glt1gYCxGqsT859"",""C5bsBOJHbB7lszHti"",""CebtGR1QKJwUB6RxR2"",""CnN57L3hF0gpjGAlNh"",""CFiduY10pwIaRPyeB2"",""CdQZcb4oTxrvEbz8kf"",""C1Or754L2d6o3Cp6Ye"",""CMAPtl8H3GYCTTN96"",""Cq4Vi3TkC7Xc5SLX"",""CM2vEUZzxtJY3Urdh"",""C4aD8x1XLBSwwweyo2"",""CIhyPf2mDCFiX8Zosc"",""CPYnicxFwxJaWvIkf"",""CeuxU33yMqqDpYNUMj"",""Ce3Jj52xMIemFIPUVd"",""Ck84A124qfsq4YOLF"",""CpQz6E2CZQ5SEknIp7"",""Cf8OIo2eCaWU7L9mnk"",""Cs9Dly1TdkTjNsULLd"",""CS2xF23JIcDXRq96l9"",""CAuqGF3l3uyYcdIs8e"",""CxoS1A1g6tmIiL68n6"",""C9Jz054M2d6PKDPI42"",""CH6rmt9WHQ4tyOXbi"",""CU8bDh3k3OLICWfe86"",""C8Xvxe3ejnuhwv4tOl"",""CZjZOc3zbpuSGTeKzi"",""CA0Hghq8Xx602Hqx"",""CFC6KR1WFsRHsdTWm8"",""C7QPC3UdoIw3Zc86g"",""C4pih32Xze31zmwVmk"",""C6BpybThkpbFtFkIg"",""C7IWsz1xZ5uFPVL5ka"",""COW33k3NfsmN4Ta2Ei"",""CudXVs3swfw0HPOjNe"",""CFZVF548SADKYd2PRa"",""CZsd7n28C8SJp4Qk42"",""C0lclJ17a1mJ5LSNC5"",""CwUQlg1EmmgIBpF4Ee"",""C4wOfO3K32Gb1f4eie"",""CLWbHA2RpqX6NJAopf"",""CTuVUl3M1QlyywnFyl"",""CkoJQb1oxVIov06RBi"",""CUmuHcZZgiuYUHLH3"",""CfulMC4ngHdNbmJOt8"",""CbX9P13r99f8Ow0Eoj"",""Cb2sfP30bJQd1r88x5"",""CXMzai2nMBUqYi0wJ8"",""CVgJLE3vTmiiGCWvVf"",""CdIVSr2oiLl1fvOqHk"",""C8sQGvSXbNTYYXL3d"",""CEUx6j1Zc1TthJHTWi"",""ChfUur1WQnC2wqCJHc"",""CQMkNU2OkfCliDHTii"",""CyeBIr4gqcVW9fL9K1"",""Cmdg17TVDUGPdXmsg"",""CXdjXg2GisppcUtNpi"",""CMZF2w3oNQ00XQ0iCc"",""CYihvSwrjCPPnocx4"",""C2RgwC36NrvydAZGA9"",""CgYZ5k2Wn3vIHu5Xia""],""community_id"":""1:uj5Xv5t3oaAWPeuqRC8Eh8QRZN4=""}","2022-02-19T23:20:01.000+0000","1:uj5Xv5t3oaAWPeuqRC8Eh8QRZN4=",SF,"6664.542012929916",,ShADadfFr,sensor,"172.16.50.100",60532,"18.188.230.95",443,zeek,1,true,false,0,,,81951,89283,183,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",76064,83476,185,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645306128.114175","Ce3glt1gYCxGqsT859
C5bsBOJHbB7lszHti
CebtGR1QKJwUB6RxR2
CnN57L3hF0gpjGAlNh
CFiduY10pwIaRPyeB2
CdQZcb4oTxrvEbz8kf
C1Or754L2d6o3Cp6Ye
CMAPtl8H3GYCTTN96
Cq4Vi3TkC7Xc5SLX
CM2vEUZzxtJY3Urdh
C4aD8x1XLBSwwweyo2
CIhyPf2mDCFiX8Zosc
CPYnicxFwxJaWvIkf
CeuxU33yMqqDpYNUMj
Ce3Jj52xMIemFIPUVd
Ck84A124qfsq4YOLF
CpQz6E2CZQ5SEknIp7
Cf8OIo2eCaWU7L9mnk
Cs9Dly1TdkTjNsULLd
CS2xF23JIcDXRq96l9
CAuqGF3l3uyYcdIs8e
CxoS1A1g6tmIiL68n6
C9Jz054M2d6PKDPI42
CH6rmt9WHQ4tyOXbi
CU8bDh3k3OLICWfe86
C8Xvxe3ejnuhwv4tOl
CZjZOc3zbpuSGTeKzi
CA0Hghq8Xx602Hqx
CFC6KR1WFsRHsdTWm8
C7QPC3UdoIw3Zc86g
C4pih32Xze31zmwVmk
C6BpybThkpbFtFkIg
C7IWsz1xZ5uFPVL5ka
COW33k3NfsmN4Ta2Ei
CudXVs3swfw0HPOjNe
CFZVF548SADKYd2PRa
CZsd7n28C8SJp4Qk42
C0lclJ17a1mJ5LSNC5
CwUQlg1EmmgIBpF4Ee
C4wOfO3K32Gb1f4eie
CLWbHA2RpqX6NJAopf
CTuVUl3M1QlyywnFyl
CkoJQb1oxVIov06RBi
CUmuHcZZgiuYUHLH3
CfulMC4ngHdNbmJOt8
CbX9P13r99f8Ow0Eoj
Cb2sfP30bJQd1r88x5
CXMzai2nMBUqYi0wJ8
CVgJLE3vTmiiGCWvVf
CdIVSr2oiLl1fvOqHk
C8sQGvSXbNTYYXL3d
CEUx6j1Zc1TthJHTWi
ChfUur1WQnC2wqCJHc
CQMkNU2OkfCliDHTii
CyeBIr4gqcVW9fL9K1
Cmdg17TVDUGPdXmsg
CXdjXg2GisppcUtNpi
CMZF2w3oNQ00XQ0iCc
CYihvSwrjCPPnocx4
C2RgwC36NrvydAZGA9
CgYZ5k2Wn3vIHu5Xia",CD9Z3p2N5fQOjQSRGh
"{""ts"":1645312763.806045,""uid"":""Crt0rVRK82zC2EqZh"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":52865,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":28.850087881088258,""orig_bytes"":1990,""resp_bytes"":1216,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADadfFr"",""orig_pkts"":11,""orig_ip_bytes"":2442,""resp_pkts"":14,""resp_ip_bytes"":1788,""tunnel_parents"":[""CT6XId2C3fpfR224ve""],""community_id"":""1:UGgKbvGyyQWEypUFyKx+ppUPT4w=""}","2022-02-19T23:20:01.000+0000","1:UGgKbvGyyQWEypUFyKx+ppUPT4w=",SF,"28.850087881088258",,ShADadfFr,sensor,"172.16.50.100",52865,"18.188.230.95",443,zeek,1,true,false,0,,,1990,2442,11,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",1216,1788,14,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312763.806045",CT6XId2C3fpfR224ve,Crt0rVRK82zC2EqZh
"{""ts"":1645310412.203716,""uid"":""CBOI3u29nA8oWTEifl"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":53703,""id.resp_h"":""40.83.247.108"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":2377.509572982788,""orig_bytes"":5215,""resp_bytes"":12001,""conn_state"":""S1"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADda"",""orig_pkts"":93,""orig_ip_bytes"":8947,""resp_pkts"":52,""resp_ip_bytes"":14093,""tunnel_parents"":[""CVUovO1qkslkXIz0ra"",""C0z3pM39I8LhYfUHE8"",""CALInK1TuqmOQvc7e8""],""community_id"":""1:GH7eldv4unzX1CIUR9P/vaIUJCY=""}","2022-02-19T23:20:01.000+0000","1:GH7eldv4unzX1CIUR9P/vaIUJCY=",S1,"2377.509572982788",,ShADda,sensor,"172.16.50.100",53703,"40.83.247.108",443,zeek,1,true,false,0,,,5215,8947,93,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",12001,14093,52,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645310412.203716","CVUovO1qkslkXIz0ra
C0z3pM39I8LhYfUHE8
CALInK1TuqmOQvc7e8",CBOI3u29nA8oWTEifl
"{""ts"":1645305727.154301,""uid"":""CgFr4C3KWcujxv9Eif"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":57634,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":7065.501857042313,""orig_bytes"":88092,""resp_bytes"":81259,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADadfFr"",""orig_pkts"":197,""orig_ip_bytes"":95984,""resp_pkts"":200,""resp_ip_bytes"":89271,""tunnel_parents"":[""ClGewM2zIQCYgA0Aog"",""CNdVxh3TplJpGSVWV4"",""CZ7HSv3nnoYYJ3irNa"",""CPEpmf1NouGRUzf5al"",""CNkcS72aIO42gy66T5"",""CjWoaE3YnD96tAhwC6"",""C7z7XE3yHFYArd1qx"",""C6TrtA1OQnnQgh0Dt4"",""CozoMB1ElcUFf6bOh1"",""CVwUVI1xSxl4XcmjFf"",""Ck163Q3Gxw6mIgjB54"",""CcCqHyZqwtSjcj3wk"",""CPskHB1H0QOhn2cjb7"",""CxcJNo2A9w5j9bKlK9"",""CN4auOhHJsH3DJba7"",""ChIewa2ReWiFnfExE1"",""CaE26i1rEagBVF7g"",""CV5EsH1fLk6eQUMROi"",""CF3yuJxfh08pxHdH1"",""CRl3vF3Gn3mOgMWTl5"",""CBTchp2mGzjRCKFC24"",""C5aoiPcPHosmxuThd"",""CXkpX5xUemaulPU3e"",""Cuynr3TNilrIxpXQk"",""CrGOGX1YwSjtI3Kqog"",""CxaxzK2YP5rn5CTSA2"",""C1TDJi4N3ASTS0JM7"",""C2aZtx2sTSkLbsjGS6"",""CndZBO13QH6jKdqhWa"",""CzcDhr2qNoTIzYtKC8"",""CAVNhh3yE9AYdggcwb"",""CHWoek2IjZ4xQjkygf"",""Cn75beC8ohZ26FYx4"",""Cu9zaR2QHm5hU05fn3"",""CIjaSv1f9uaEsj1Ar"",""CheQFA4aj9MiMoLgLb"",""Cj2Lcp3IUlg75QF5Ue"",""CAA15c13jXWNfR3KQc"",""ChIWq54hFNFQsuGuij"",""CZADBP1Fy81DIzPNf8"",""CmMdES3UXfF99ypPSa"",""CePHMc46nrk5VI7qcd"",""CUygMb19pKJFK02oCh"",""CGha7bduQEaTY1a1"",""CEItmIISt5KGe1Juk"",""CkRpeZ2qxc8ELs4dKj"",""CBtslx3XUEXakcsLQc"",""C32Cqs2nXV13SPxRbd"",""CndBbP335tOqk5vW3e"",""CldUa9SjGHNsEzzI"",""CkYo133VN9ZwU9ZBEl"",""CSsrWn1H4O6G5UGTEl"",""CkzmYsniAbpATzvb1"",""CqV3Xj2iJVnndYX3sf"",""CB1OpLCKwD9Q97EQe"",""C5IHt72UbyYAK2CrD6"",""C1PVJt42uKQoA0iVJb"",""C8lm0I1ul32wPFukPc"",""CuyvwK1XEXxAkzeaMf"",""CumRPe1IZKnt9lU1h1"",""CdNjft4WchsrjU7cqh"",""Chc11j4juinQFd5mHe"",""CYaAot2fwO9YbO8Qce"",""CueXo718J0lQCP5Fc9"",""C1VeRc1UpZ3Nbp0t4g"",""CGEXUgBuT3C7Kljfj"",""CO5UpveUiaUhkxq9c"",""CWzAMy0lLYcdGz5K9"",""C0MAn31P18rxftlajc"",""C4oQg93NSrja0qOf3c"",""CAhlBv2JDzs2WGJs7c"",""CDpb684r7l2de3D5he"",""C2miGJhgPE3aufXE6"",""C6qxwf3Tubh4keHwR1"",""CZkoeq2btFfceiWdEc"",""CGxHPx3h7uynYwM1L2"",""CHsFRs2EC2ppr03PNi"",""CF2RAx1LSH3uCSmLn8"",""CknaHi1axwfSKR4Eu"",""Ceb1TF12zBcYjzKK2a"",""Cjre841UyUFh67eqw4"",""CQ7z8F3PF1BQQJVLfh"",""CYeSsp2K2ZfouliETf""],""community_id"":""1:dDDcBqmmRvvLXxOup7UBsHTEGTc=""}","2022-02-19T23:20:01.000+0000","1:dDDcBqmmRvvLXxOup7UBsHTEGTc=",SF,"7065.501857042313",,ShADadfFr,sensor,"172.16.50.101",57634,"18.188.230.95",443,zeek,1,true,false,0,,,88092,95984,197,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",81259,89271,200,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645305727.154301","ClGewM2zIQCYgA0Aog
CNdVxh3TplJpGSVWV4
CZ7HSv3nnoYYJ3irNa
CPEpmf1NouGRUzf5al
CNkcS72aIO42gy66T5
CjWoaE3YnD96tAhwC6
C7z7XE3yHFYArd1qx
C6TrtA1OQnnQgh0Dt4
CozoMB1ElcUFf6bOh1
CVwUVI1xSxl4XcmjFf
Ck163Q3Gxw6mIgjB54
CcCqHyZqwtSjcj3wk
CPskHB1H0QOhn2cjb7
CxcJNo2A9w5j9bKlK9
CN4auOhHJsH3DJba7
ChIewa2ReWiFnfExE1
CaE26i1rEagBVF7g
CV5EsH1fLk6eQUMROi
CF3yuJxfh08pxHdH1
CRl3vF3Gn3mOgMWTl5
CBTchp2mGzjRCKFC24
C5aoiPcPHosmxuThd
CXkpX5xUemaulPU3e
Cuynr3TNilrIxpXQk
CrGOGX1YwSjtI3Kqog
CxaxzK2YP5rn5CTSA2
C1TDJi4N3ASTS0JM7
C2aZtx2sTSkLbsjGS6
CndZBO13QH6jKdqhWa
CzcDhr2qNoTIzYtKC8
CAVNhh3yE9AYdggcwb
CHWoek2IjZ4xQjkygf
Cn75beC8ohZ26FYx4
Cu9zaR2QHm5hU05fn3
CIjaSv1f9uaEsj1Ar
CheQFA4aj9MiMoLgLb
Cj2Lcp3IUlg75QF5Ue
CAA15c13jXWNfR3KQc
ChIWq54hFNFQsuGuij
CZADBP1Fy81DIzPNf8
CmMdES3UXfF99ypPSa
CePHMc46nrk5VI7qcd
CUygMb19pKJFK02oCh
CGha7bduQEaTY1a1
CEItmIISt5KGe1Juk
CkRpeZ2qxc8ELs4dKj
CBtslx3XUEXakcsLQc
C32Cqs2nXV13SPxRbd
CndBbP335tOqk5vW3e
CldUa9SjGHNsEzzI
CkYo133VN9ZwU9ZBEl
CSsrWn1H4O6G5UGTEl
CkzmYsniAbpATzvb1
CqV3Xj2iJVnndYX3sf
CB1OpLCKwD9Q97EQe
C5IHt72UbyYAK2CrD6
C1PVJt42uKQoA0iVJb
C8lm0I1ul32wPFukPc
CuyvwK1XEXxAkzeaMf
CumRPe1IZKnt9lU1h1
CdNjft4WchsrjU7cqh
Chc11j4juinQFd5mHe
CYaAot2fwO9YbO8Qce
CueXo718J0lQCP5Fc9
C1VeRc1UpZ3Nbp0t4g
CGEXUgBuT3C7Kljfj
CO5UpveUiaUhkxq9c
CWzAMy0lLYcdGz5K9
C0MAn31P18rxftlajc
C4oQg93NSrja0qOf3c
CAhlBv2JDzs2WGJs7c
CDpb684r7l2de3D5he
C2miGJhgPE3aufXE6
C6qxwf3Tubh4keHwR1
CZkoeq2btFfceiWdEc
CGxHPx3h7uynYwM1L2
CHsFRs2EC2ppr03PNi
CF2RAx1LSH3uCSmLn8
CknaHi1axwfSKR4Eu
Ceb1TF12zBcYjzKK2a
Cjre841UyUFh67eqw4
CQ7z8F3PF1BQQJVLfh
CYeSsp2K2ZfouliETf",CgFr4C3KWcujxv9Eif
"{""ts"":1645312776.062513,""uid"":""CnySrS3WiNj8ShUL9k"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":55592,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":16.59363293647766,""orig_bytes"":1974,""resp_bytes"":1216,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADadfFr"",""orig_pkts"":11,""orig_ip_bytes"":2426,""resp_pkts"":14,""resp_ip_bytes"":1788,""tunnel_parents"":[""CLTgBB142VR3Uh9sp3""],""community_id"":""1:yV3ja1baaHPeZDhFXRF2tQGdPdo=""}","2022-02-19T23:20:01.000+0000","1:yV3ja1baaHPeZDhFXRF2tQGdPdo=",SF,"16.59363293647766",,ShADadfFr,sensor,"172.16.50.101",55592,"18.188.230.95",443,zeek,1,true,false,0,,,1974,2426,11,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",1216,1788,14,ssl,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312776.062513",CLTgBB142VR3Uh9sp3,CnySrS3WiNj8ShUL9k
"{""ts"":1645312794.680552,""uid"":""CP1Oup1Ips5GuN8FGf"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":52566,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.0002510547637939453,""orig_bytes"":0,""resp_bytes"":0,""conn_state"":""REJ"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""Sr"",""orig_pkts"":1,""orig_ip_bytes"":48,""resp_pkts"":1,""resp_ip_bytes"":40,""tunnel_parents"":[""CfhV9t1l3xktqsNn14""],""community_id"":""1:Mk81JrKyJu7FrWn50YZnAUormNI=""}","2022-02-19T23:20:01.000+0000","1:Mk81JrKyJu7FrWn50YZnAUormNI=",REJ,"0.0002510547637939453",,Sr,sensor,"172.16.50.100",52566,"18.188.230.95",443,zeek,1,true,false,0,,,0,48,1,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",0,40,1,,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312794.680552",CfhV9t1l3xktqsNn14,CP1Oup1Ips5GuN8FGf
"{""ts"":1645312794.148565,""uid"":""ChNvqQ2Q9ZN4Zx4vWj"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":55596,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.0002608299255371094,""orig_bytes"":0,""resp_bytes"":0,""conn_state"":""REJ"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""Sr"",""orig_pkts"":1,""orig_ip_bytes"":52,""resp_pkts"":1,""resp_ip_bytes"":40,""tunnel_parents"":[""CQO7hw1CZl1pToh77i""],""community_id"":""1:JdepSdH4l5a0pgU9mFZ5htI+GaU=""}","2022-02-19T23:20:01.000+0000","1:JdepSdH4l5a0pgU9mFZ5htI+GaU=",REJ,"0.0002608299255371094",,Sr,sensor,"172.16.50.101",55596,"18.188.230.95",443,zeek,1,true,false,0,,,0,52,1,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",0,40,1,,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312794.148565",CQO7hw1CZl1pToh77i,ChNvqQ2Q9ZN4Zx4vWj
"{""ts"":1645312794.164984,""uid"":""CEPMYDi6A9yN11Tma"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":52566,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.0005180835723876953,""orig_bytes"":0,""resp_bytes"":0,""conn_state"":""REJ"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""Sr"",""orig_pkts"":1,""orig_ip_bytes"":52,""resp_pkts"":1,""resp_ip_bytes"":40,""tunnel_parents"":[""CfhV9t1l3xktqsNn14""],""community_id"":""1:Mk81JrKyJu7FrWn50YZnAUormNI=""}","2022-02-19T23:20:01.000+0000","1:Mk81JrKyJu7FrWn50YZnAUormNI=",REJ,"0.0005180835723876953",,Sr,sensor,"172.16.50.100",52566,"18.188.230.95",443,zeek,1,true,false,0,,,0,52,1,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",0,40,1,,"/opt/zeek/logs/2022-02-19/conn.23:00:00-23:20:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645312794.164984",CfhV9t1l3xktqsNn14,CEPMYDi6A9yN11Tma
